,Product_Location_in_Tree,Product_title,Product_image_URL,Product_brand,Product_Rating,Number_of_Customer_review,Product_price,Product_About_Item,Product_Dim,Product_ASIN,Product_Item_Model_number,Product_Department,Product_Date_First_Available,Product_Special,Product_manufacturer,Country_Origin,UPSPSC_Code,Product_BSR,Number of sold of in a month,Product Specification,Product Description
0,Cell Phones & Accessories > Accessories > Adhesive Card Holders,Ferilinso for iPhone 13/ 14 Privacy Screen Protector 2 Pack 9H Anti Spy Tempered Glass Privacy Screen with 2 Pack Camera Lens Protector Case Friendly Accessories,https://m.media-amazon.com/images/I/715zX8EryZL._AC_SX679_.jpg,Ferilinso,4.3,"12,289",$8.88,"True 28° Privacy Protection: Ferilinso Privacy Coatings made of new materials from germany, have better Privacy performance than other materials. the screen is only visible to persons directly in front of the iPhone 13 & iPhone 14 6.1 inch screen and does not affect power. Keeps your personal, private, and sensitive information hidden from strangers, Provides the most powerful protection, even your friends or colleagues sitting next to you also can't see on your messages.
Shatterproof and Scratch-Resistant: Ferilinso Privacy Glass made of 9H super strong military explosion-proof glass, and the strengthened edge design ensure the corners of the screen are protected well. Which not only shock-proof, also protecting your screen from scratches to HIGH impact drops. The phone is placed in the bag without worrying about being scratched by sharp objects such as Keys.
Frontal 99.99% HD & Sensitive Touch: Ferilinso Privacy Glass screen protector break through the defects of the blurred picture of the privacy glass films on the market, highly restore the best visual feast brought by the iPhone screen. 0.33mm ultra-thin tempered glass maintains EXcellent responsiveness sensitivity touch make you feel nothing on screen. Hydrophobic and oleo-phobic coating make it anti-fingerprint and dirt- proof, giving you a ultimate Bare-screen touch.
Camera Protector & Case-Friendly: Ferilinso camera protector made of 9H glass effectively protect entire lens from drops, scratches, other accidents and not easy to fall off. Special designed Black circle Suitable night shooting function, brings you the original of beauty to every photo and video. This camera and screen protector designed to be Suitable with most cases. extra slight space around the bezel allows your case to wrap around the edge of your device without any Interference.
Face ID Suitable and Easy To Install: precisely cut for the iphone 13 & iPhone 14 6.1 Inch, this Privacy Glass does not interfere with the Face ID Feature. Comes with precision installation frame and complete cleaning kit, made the install very Easy. We are committed TO providing good service to every customer, whatever problems, you can Send us information through Amazon's Message Center, we will Provide you wIth Satisfactory Service Within 24 Hours.",5.61 x 2.66 x 0.5 inches,B09BN5D3WB,iPhone 14 ＆ iPhone 13,none,"August 2, 2021",Scratch Resistant,Ferilinso,China,none,#1,none,none,Product Description
1,Cell Phones & Accessories > Accessories > Adhesive Card Holders,"Magnetic Card Wallet Holder with MagSafe for iPhone 15 Pro Max/15 Pro/15 Plus/15,for iPhone 14 Pro Max/14 Plus/14 Pro/14, for iPhone 13 Pro Max/13 Pro/13/13 Mini, for iPhone 12/12 Pro/12 Max,Midnight",https://m.media-amazon.com/images/I/51e3vz2DrBL._AC_SX679_.jpg,TWZKG,4.2,"3,687",$12.97,"[Compatible Models] Magnetic Adhesive Card Wallet Holder with MagSafe for iPhone 15 Pro Max/15 Pro/15 Plus/15,iPhone 14 Pro Max/14 Plus/14 Pro/14, for iPhone 13 Pro Max/13 Pro/13/13 Mini, for iPhone 12/12 Pro/12 Pro Max/12 Mini
[Endless Combinations] Mag Safe Wallet is a new ecosystem of accessories for easy attachment and faster wireless charging. It can work well with MagSafe Case.
[Easily Take Out the Cards] Just press the empty slot of the Mag-Safe Wallet, push out the card, and then pull out the card. Note: Please put at most 2 cards into the Magnetic wallet.
[Built-in 12 Powerful Magnets] The wallet features strong built-in magnets that allow it to effortlessly snap into place on the back of your iPhone. You can even stack it on top of a clear or silicone case with MagSafe to create a look that’s unique to you. The leather wallet is shielded so it’s safe for credit cards.
[Premium Leather Material] Mag-Safe wallet card holder is made of environmentally friendly PU leather. Exquisite craftsmanship ensures that the Mag-Safe wallet will not be easily deformed or opened. There is a matte and non-slip design inside, so you don't have to worry about falling off.",4.02 x 2.99 x 0.47 inches,B09JNQCXJW,TWZKG,Mens,"November 8, 2021",RFID Protected,TWZKG,China,none,#2,none,none,Product Description
2,Cell Phones & Accessories > Accessories > Adhesive Card Holders,"ESR Magnetic Wallet (HaloLock), Compatible with MagSafe Wallet, iPhone Wallet with Adjustable Stand, for iPhone 15/14/13/12 Series, Not for iPhone 13/12 mini, 3 Card Holder, Vegan Leather, Black",https://m.media-amazon.com/images/I/81r-S31BH4L._AC_SX679_.jpg,ESR,4.6,"8,124",$29.99,"Stronger Magnetic Lock: powerful magnets are 20% stronger than the official magnetic wallet to ensure that your wallet stand stays securely attached
Adjustable Stand: choose from portrait or landscape and any angle between 15° and 160° to find the perfect position to watch your favorite shows, Facetime your family, or browse the web
Smart Card Storage: 3 individual card slots give you quick and easy access to the card you need, when you need it; clear window makes flashing your ID quick and easy
Safe and Stylish: metallic mesh lining provides degaussing protection for your cards to prevent demagnetization; high-quality vegan leather offers a classic look and premium feel
Compatibility: only compatible with iPhone 15/15 Plus/15 Pro/15 Pro Max/14/14 Plus/14 Pro/14 Pro Max/13/13 Pro/13 Pro Max/12/12 Pro/12 Pro Max, official magnetic cases, and ESR HaloLock cases; not compatible with iPhone 13/12 mini
Complete Customer Support: detailed setup videos and FAQs, comprehensive 12-month warranty, lifetime support, and personalized help",4.13 x 2.6 x 0.3 inches,B09K75L2L1,cxzj_wallet_bk_acs_odeu,mens,"October 25, 2021",Stable and Adjustable Stand,Electronic Silk Road Corp,none,none,#3,none,none,"Product Description
Play Video
Stronger Magnetic Lock
Hold On Tight
Designed for the demands of everyday life, the built-in magnets provide a 70% stronger magnetic lock than the official magnetic wallet. Snap it on and get on with your day, knowing your most important items are always secure.
Multi-angle Stand
Enjoy the View
Going hands free has never been so convenient. Open out to any angle up to 160° via the strong, precision-design hinge and achieve a powerfully versatile and stable stand for your phone. Watch shows, read, or video chat with friends, all at the ideal viewing angle in portrait or landscape.
Smart Card Storage
Play Your Cards Right
3 separate card slots let you instantly access the card you need, when you need it.
Smart Card Storage Safe for Magnetic Cards Pocket Friendly Position Lock
Accessories Designed for MagSafe
Vegan Leather
25W 3-in-1
15W
Kickstand
360
Classic
Classic
Product Type
Magnetic Wallet Stand Charger with MagSafe Car Charger with MagSafe Wireless Power Bank Universal Ring Hybrid Case Hybrid Case + Stash Stand
Compatibility
iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15 series iPhone 15 series
Designed for MagSafe
✔ ✔ ✔ ✔ ✔ ✔ ✔
Magnetic Strength
1,200 gf 1,200 gf 2,000 gf (+ ESR magnetic case) 1,000 gf Matches paired device 1,500 gf 1,500 gf
Main Feature
Strong magnetic lock 15W Charging with MagSafe 15W Charging with MagSafe Power in a snap Upgrade to MagSafe Strong magnetic lock Strong magnetic lock
Other Feature
Fully adjustable stand CryoBoost fast charging CryoBoost fast charging On-demand kickstand Strong magnetic lock Air Guard corners Air Guard corners & lens stand
Material
Vegan leather, PC, ABS, steel PC, ABS, aluminum alloy PC, ABS, magnets Aluminum alloy, PC, ABS Ferromagnetic steel Acrylic, PC, TPU Acrylic, PC, TPU, zinc alloy"
3,Cell Phones & Accessories > Accessories > Adhesive Card Holders,"ESR Magnetic Wallet (HaloLock), Geo iPhone Wallet Stand with Full Find My Functionality, Compatible with MagSafe Wallet, Wallet Tracker with Adjustable Stand, for iPhone 15/14/13/12 Series, Black",https://m.media-amazon.com/images/I/71bzb+apR4L._AC_SX679_.jpg,ESR,4.6,939,$45.99,"Full Apple Find My: the first wallet designed for MagSafe on the market with full Apple-certified Find My functionality, letting you instantly see its real-time location, Play a Sound, and receive Left Behind notifications
2x Stronger Magnets: enjoy a powerful 1,500-g magnetic lock on your phone, more than double the strength of the official magnetic Wallet, so your most important items always stay secure
All in One Pocket: lightweight design attaches seamlessly to the back of your phone, holds 1–3 cards equally secure thanks to the dynamic tension spring, and enables instant access to your cards via the small cutout in the bottom
Multi-view Stand: the strong, durable hinge opens out smoothly to create a powerfully stable stand at any angle between 15° and 170°, portrait or landscape, for the perfect way to FaceTime, watch videos, or browse hands free
Secure Grip: specially designed finger loop on the back gives you a comfortably better grip on the go and quickly folds flat when you're ready to pocket your phone
Complete Customer Support: detailed setup videos and FAQs, comprehensive 12-month warranty, lifetime support, and personalized help",5.51 x 4.13 x 0.67 inches,B0BY8MJG52,2K609,Womens,"March 13, 2023","Geo Magnetic Wallet with Full Find My Functionality, Wallet Tracker with Adjustable Stand",Electronic Silk Road Corp,none,none,#4,none,none,"Product Description
Play Video
Full Find My Full Find My Full Find My
Stronger Magnetic Lock
Snap on. Get on.
Enjoy a magnetic lock on your phone more than double the strength of the official MagSafe Wallet via powerful built-in magnets with 1,500 g of holding force. Go about your day with peace of mind, knowing your most important items are locked on for the ride.
Smart Card Storage
Secured. Simplified
Holds 1-3 cards equally secure thanks to the inner dynamic tension spring.
Smart Card Storage Adjustable 2-Way Stand Secure-Grip Finger Loop
Long Battery Life
Go Longer. Charge Faster.
Long-lasting rechargeable battery reduces waste and goes for 3 months on a 1.5-hr full charge.
Long Battery Life Compatibility Pocket Friendly Reduce Your Footprint
ESR MagSafe on the Go
Geo
Vegan Leather
Vegan Leather
360
Magnetic
Classic
Classic
Product Type
Magnetic Wallet Stand Magnetic Wallet Stand Magnetic Wallet Universal Ring Ring Stand Hybrid Case Hybrid Case + Stash Stand
Compatibility
iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15 series iPhone 15 series
Designed for MagSafe
✔ ✔ ✔ ✔ ✔ ✔ ✔
Magnetic Strength
1,500 gf 1,200 gf 1,800 gf Matches paired device 1,200 gf 1,500 gf 1,500 gf
Main Feature
Full Find My functionality Strong magnetic lock Strong magnetic lock Upgrade to MagSafe Adjustable 2-way stand Strong magnetic lock Strong magnetic lock
Other Feature
3-card storage Fully adjustable stand 3-card storage Strong magnetic lock Strong magnetic lock Air Guard corners Air Guard corners & lens stand
Material
Vegan leather, PC, ABS, steel Vegan leather, PC, ABS, steel Vegan leather, steel Ferromagnetic steel Zinc alloy, TPE Acrylic, PC, TPU Acrylic, PC, TPU, zinc alloy"
4,Cell Phones & Accessories > Accessories > Adhesive Card Holders,"ESR Magnetic Wallet (HaloLock), Compatible with MagSafe Wallet, iPhone Wallet with Secure-Grip Finger Loop, for iPhone 15/14/13/12 Series, Not for 13/12 Mini, 3-Card Holder, Vegan Leather, Black",https://m.media-amazon.com/images/I/71kbYIrTEJL._AC_SX679_.jpg,ESR,4.3,"1,108",$15.99,"Stronger Magnetic Lock: powerful built-in magnets provide a 250% stronger magnetic lock than the official magnetic wallet, so your items stay secure and it won’t come off when taken out of your pocket
All in One Pocket: lightweight design attaches seamlessly to the back of your phone and holds 1–3 cards equally secure thanks to the dynamic tension spring inside the card holder
Secure Grip: finger loop on the back gives you a comfortably better grip on the go, doubles as a stand so you can enjoy hands-free viewing in landscape, and quickly folds flat when you're ready to pocket your phone
Instant Card Access: get the card you need when you need it without having to detach your wallet by simply inserting your finger into the specially designed bottom cutout
Compatibility: only compatible with iPhone 15, 15 Plus, 15 Pro, 15 Pro Max, 14, 14 Plus, 14 Pro, 14 Pro Max, 13, 13 Pro, 13 Pro Max, 12, 12 Pro, 12 Pro Max, official magnetic cases, and ESR HaloLock cases; not compatible with iPhone 13/12 mini",3.15 x 1.97 x 0.39 inches,B0BX9F19PM,cxzj_wallet_bk,Unisex,"March 3, 2023",Secure-Grip Finger Loop,Electronic Silk Road Corp,none,none,#5,none,none,"Product Description
Play Video
Strong MagSafe Lock
Hold On Tight
Designed for the demands of everyday life, the built-in magnets provide a magnetic lock over 2.5x stronger than the official magnetic wallet. Snap it on and get on with your day, knowing your most important items are always secure.
Smart Card Storage
Safe and Secure
The card holder is roomy enough to let you store up to 3 cards and features a built-in dynamic tension spring so that, whether you’re carrying just 1 card or all 3, everything stays safely and securely inside.
Secure-Grip Finger Loop
Hold Steady
Loop on the back provides a close, snug fit for any finger to give you a better grip on the go.
Secure-Grip Finger Loop Easy Card Access Pocket Friendly
Safe for Magnetic Cards
In Safe Hands
Your magnetic-stripe cards stay protected from demagnetization thanks to the special lining.
Safe for Magnetic Cards Premium Style Compatibility
Accessories Designed for MagSafe
Vegan Leather
25W 3-in-1
15W
Kickstand
360
Classic
Classic
Product Type
Magnetic Wallet Charger with MagSafe Car Charger with MagSafe Wireless Power Bank Universal Ring Hybrid Case Hybrid Case + Stash Stand
Compatibility
iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15/14/13/12 Series iPhone 15 series iPhone 15 series
Designed for MagSafe
✔ ✔ ✔ ✔ ✔ ✔ ✔
Magnetic Strength
1,800 gf 1,200 gf 2,000 gf (+ ESR magnetic case) 1,000 gf Matches paired device 1,500 gf 1,500 gf
Main Feature
Strong magnetic lock 15W Charging with MagSafe 15W Charging with MagSafe Power in a snap Upgrade to MagSafe Strong magnetic lock Strong magnetic lock
Other Feature
3-card storage CryoBoost fast charging CryoBoost fast charging On-demand kickstand Strong magnetic lock Air Guard corners Air Guard corners & lens stand
Material
Vegan leather, steel PC, ABS, aluminum alloy PC, ABS, magnets Aluminum alloy, PC, ABS Ferromagnetic steel Acrylic, PC, TPU Acrylic, PC, TPU, zinc alloy"
5,Cell Phones & Accessories > Accessories > Adhesive Card Holders,"SS Card Holder for Back of Phone, Phone Wallet Stick-on Credit Card Sleeve Pocket Silicone Cell Phone Pouch Compatible for iPhone,Samsung Galaxy and Most SamrtPhones 4 Pack",https://m.media-amazon.com/images/I/61RsSuRd5mL._AC_SX679_.jpg,SS,4.4,"1,827",$5.99,"【Double Pocket & Great Storage】This phone sleeve with 2 layer, double pocket design, with much more storage than others, you can easily put your credit cards, Debit Cards, Cash etc.
【Universal Fitment】this phone wallet pocket fits almost all smartphones, includeing iPhone X/XS/XS Max/XR /8 /8 Plus /7 /7 Plus /6 /6 Plus, Samsung Galaxy S6/S5/S4/S3, Galaxy Note 5/4/3/2/ 1,ect.
【Strong Adhesive】Sticker makes the card holder strong enough on any smooth surface, such as normal glasses, smooth cell phone cases, leather phone case. ****Please note: Oil-resistant mobile phone cases and original phone glass back are not suitable for this product, such as: * Liquid Silicone Gel Rubber Case*
【Multi Use】It can not only be attached to back of phone, it can stick on every smooth surface place. Add a extra pocket in car, computer or on the fridge and have more storage space.
【Easy Use, Easy Carry】Just peel off the cover of the phone wallet, stick on back of phone, and finish by softly pressing. With it you can carry only one phone out of door but with your card, cash, ear phone all your needs.",15.99 x 8.99 x 1 inches,B08H5697N8,BMH-CPW-2LAYER,none,"September 8, 2020",Travel,SS,China,none,#6,none,none,"Product Description
Play Video
Double Pockets Phone Case Compatible Universal
More Phone Card Holders to Consider
Phone Card Holder
Phone Card Holder
Phone Card Holder
Magnetic Wallet
Magnetic Wallet
Phone Card Holder
Phone Card Holder
Item Quantity
4 PCS 6 PCS 6 PCS 1 PC 1 PC 3 PCS 3 PCS
Material
Silicone Silicone Silicone Leather Leather Fabric Fabric
Compatibility
All smartphones All smartphones All smartphones for iPhone 14/13/12 series for iPhone 14/13/12 series All smartphones All smartphones
Stick Back of Phone
Adhesive Adhesive Adhesive Magnetic Magnetic Adhesive Adhesive
Phone Wallet Stand
✘ ✘ ✘ ✔ ✔ ✘ ✘"
6,Cell Phones & Accessories > Accessories > Adhesive Card Holders,"Sinjimoru Secure Card Holder for Back of Phone, Stretchy Fabric Cell Phone Wallet Stick On Credit Card Case for iPhone & Android. Sinji Pouch Flap Black",https://m.media-amazon.com/images/I/61VKXt3xI8L._AC_SX679_.jpg,Sinjimoru,4.5,"6,318",$7.64,"HIGH QUALITY CREDIT CARD WALLET FOR BACK OF PHONE: Sinji Pouch Flap is a sticky card holder for cellphone that securely stores cards, money, and small gadgets, the convenience of phone accessories!
SECURE ADHESIVE PHONE WALLET: The Flap function prevents direct exposure of private information and is designed to provide optimal security of credit cards, ID cards, and driver licenses.
SLIM WALLET STICK ON: A stick on wallet you simply attach to the back of your iPhone X case, Android, or smartphone and transform it to a phone holder wallet or ID card case sleeve.
HIGHLY COMPATIBLE ID CARD SLOT: Apply the phone pocket on mobile phones with a flat back like the iPhone 12 13 14 15 series, Android, & smart phones (Read below description for cell phone compatibility).",2.2 x 0.12 x 3.58 inches,B06XVNBNFC,SPH_FLAP (Black),none,"March 27, 2017",Card Slot,Sinjimoru Co.Ltd,none,none,#7,none,none,"Product Description
Strengthened Card Protection
Sinji Pouch Flap has added a flap to prevent loss and damage to your cards and protect personal information on credit cards or identification cards.
12 Colorful Options
Choose one of the 12 different colors of Sinji Pouch Flap according to your own taste.
Convenience
You can easily tag your cards with Sinji Pouch Flap without having to take them out of your wallet.
Take a look Take a look Take a look Take a look Take a look Take a look
Product Name Sinji Pouch Flap M-Flap Sinji Mount Flap Sinji Pouch B-Grip Sinji Mount B-Grip M-Plate
Compatible model All smartphones iPhone 12/13/14/15 series All smartphones All smartphones All smartphones All smartphones
What's special Secure Phone Wallet Secure Magsafe Wallet Detachable Secure Phone Wallet 3 in 1 Phone Wallet Detachable 3 in 1 Phone Wallet MagSafe Magnet Sticker
Material Nylon Magnet & Nylon Plastic & Nylon Silicone Plastic & Silicone Magnet & Plastic
Color Options 12 Color Options 5 Color Options 5 Color Options 5 color options 5 Color Options 2 Color Options"
7,Cell Phones & Accessories > Accessories > Adhesive Card Holders,LIFESTYLE DESIGNS The StickyWallet – Premium Spandex Stick-on Phone Wallet Card Holder for any Case – Unique Double Pocket Design + Finger Strap (1 Pack),https://m.media-amazon.com/images/I/41A9LoEqnUL._AC_.jpg,LIFESTYLEDESIGNS,4.4,"4,512",$14.99,"WHY CHOOSE US? – Hey guys, Parker & Riley here. We are a team of travel YouTubers, and we designed our spandex sticky wallet custom to our exact specifications, in our Kirkland, WA labs. We’ve been living no-wallet life for over a year now, and we’re excited for you to try it out! (Available in 1 or 2 Pack)
DOUBLE POCKET IS THE BEST – Holds up to 5 cards comfortably, plus a hidden cash pocket in the front. Slim Comfort, Strong Elasticity. Built with HD elastic fabric that doesn’t lose its elasticity. Includes a secret metal plate inside, so it mounts onto your magnetic car mount!
UNIQUE FINGER STRAP – You’ll love our added finger strap. Allows you to hold your phone more securely. It feels amazing!
JOIN THE REVOLUTION – We only design products that we want ourselves, and this is the best stick on card holder out there.
STICKS ON ANY SMOOTH, FLAT-BACK PHONE CASE: **Note: Does NOT stick to SILICONE or TEXTURED cases** – How to: Just Peel off the 3M Sticker, and Stick it on the back of your phone case! It's so strong it won't peel off. Any size iPhone, Samsung Galaxy or Android Smartphone – Such as iPhone 15, 15 Pro Max iPhone 14, 14 Pro Max, iPhone 13, 13 Pro/Max, 13 Mini, iPhone 12 - Pro - Pro Max - XS Max - XS - XR - X - 8 - 8 Plus - 7 - 7Plus - 6 - 6+ - 5 - Windows Phone, One+, Oppo, Xiaomi, Note 9, Galaxy S9, S10 Etc.",2.35 x 3.6 x 0.25 inches,B07GPF27LL,4351507796,Unisex-adult,none,none,No,China,none,#8,none,none,"Product Description
Play Video
Dual Pocket
Design
Store up to 5 cards in the back pocket, and the front pocket discreetly holds up to 10 bills.
Dual Pocket Design Finger Strap Mounts to Magnets Slim & Secure
Why is my card not sliding in?
Does it work with wireless charging?
Can I peel it off and re-stick it onto another case?
Can I stick it directly onto my phone?
Will it damage my case/phone if I peel it off?"
